Timestamp,Name,How does an Injection attack work?,What are the consequences of a cryptographic failure in a web application?,Correctly match the vulnerabilities with their corresponding security standards by choosing the right option:,How can a Broken Access Control attack be prevented?,"On SQL injection and database security: A web system stores user credentials in a database. Which of the following approaches can still be vulnerable to a SQL injection attack, even though it seems secure?",Why are logging and activity monitoring essential to a system's security?,"On cryptographic failures and secure credential storage: Regarding password storage, which of the approaches below represents the best security practice?",On broken access control: Which of the following configurations can lead to a broken access control vulnerability in a web system?,"After an attack on an e-commerce platform where customers' payment data were altered by an attacker, what would be the best practice to prevent data integrity failures?","In a company, a version control system was compromised due to a lack of verification of code authenticity. What could be done to improve software integrity and protect against unauthorized modifications?","On an e-commerce site, a user changes the ID in their account URL from ""12345"" to ""12346"" and accesses another user's data. Which security vulnerability is occurring?","An attacker exploits a flaw in a software system, altering the source code or stored data to modify the system's behavior, compromising its accuracy and reliability. Which vulnerability is being exploited in this scenario?"
2025-02-25 15:48:36.334,P2,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Using parameterized queries (prepared statements) with type checking of user inputs.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Using JSON Web Tokens (JWT) with a short expiration time.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Cross-Site Scripting (XSS)
2025-02-25 15:48:40.100,P39,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → C, 2 → D, 3 → B, 4 → A",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,Storing passwords encrypted with AES-256 and a fixed key embedded in the source code.,I don't know,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",I don't know,Code or data tampering (exploiting software integrity)
2025-02-25 15:48:46.899,P19,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,I don't know,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 15:49:05.705,P23,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Allowing customers to change their own transactions directly through the system, without additional controls.",Not applying patches or updates to the source code to avoid the risk of integrity failures.,I don't know,Code or data tampering (exploiting software integrity)
2025-02-25 15:49:25.495,P32,"In an injection attack, an attacker inserts malicious commands into a vulnerable system. A strong, complex password can prevent this from happening, as it adds an extra layer of security, making injection harder to execute.","Leakage of sensitive data, such as passwords and personal information.","1 → B, 2 → A, 3 → D, 4 → C",Implementing Least Privilege Policies and Access Control,I don't know,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",I don't know,SQL Injection
2025-02-25 15:49:33.449,P8,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,I don't know,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",SQL Injection,Cross-Site Scripting (XSS)
2025-02-25 15:49:55.694,P27,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Using parameterized queries (prepared statements) with type checking of user inputs.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",I don't know,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",XSS,Code or data tampering (exploiting software integrity)
2025-02-25 15:49:57.587,P26,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 15:50:11.070,P7,"In an injection attack, an attacker inserts malicious commands into a vulnerable system. A strong, complex password can prevent this from happening, as it adds an extra layer of security, making injection harder to execute.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,SQL Injection
2025-02-25 15:50:12.935,P10,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",SQL Injection,Code or data tampering (exploiting software integrity)
2025-02-25 15:50:29.870,P18,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,I don't know,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",I don't know,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",SQL Injection,SQL Injection
2025-02-25 15:50:48.466,P31,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",I don't know,I don't know,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 15:51:19.597,P9,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,I don't know,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,SQL Injection
2025-02-25 15:51:43.716,P33,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,I don't know,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",I don't know,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,SQL Injection
2025-02-25 15:51:46.136,P20,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,I don't know,Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 15:52:21.519,P4,"In an injection attack, an attacker inserts malicious commands into a vulnerable system. A strong, complex password can prevent this from happening, as it adds an extra layer of security, making injection harder to execute.","Leakage of sensitive data, such as passwords and personal information.","1 → C, 2 → D, 3 → B, 4 → A",Using only URLs to determine who can access what in the system.,Using an ORM (Object-Relational Mapping) with native support for input escaping.,They replace the need for multi-factor authentication (MFA).,Storing passwords encrypted with AES-256 and a fixed key embedded in the source code.,Implementing access control lists (ACLs) to define permissions per role.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",CSRF,SQL Injection
2025-02-25 15:53:14.101,P30,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → B, 2 → A, 3 → D, 4 → C",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",I don't know,Code or data tampering (exploiting software integrity)
2025-02-25 15:53:48.002,P40,"An injection attack can be prevented by creating obfuscated source code, which makes scripts harder for attackers to read and blocks any attempt to inject commands into the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",I don't know,Code or data tampering (exploiting software integrity)
2025-02-25 15:54:03.918,P5,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → B, 2 → A, 3 → D, 4 → C",Implementing Least Privilege Policies and Access Control,Using stored procedures that do not concatenate user inputs directly into SQL commands.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Using JSON Web Tokens (JWT) with a short expiration time.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 15:54:19.219,P12,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 15:54:19.550,P11,"In an injection attack, an attacker inserts malicious commands into a vulnerable system. A strong, complex password can prevent this from happening, as it adds an extra layer of security, making injection harder to execute.","Leakage of sensitive data, such as passwords and personal information.","1 → B, 2 → A, 3 → D, 4 → C",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Storing passwords in plain text, but protected by a firewall and restricted access to the database.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",CSRF,Cross-Site Scripting (XSS)
2025-02-25 15:54:48.536,P16,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,I don't know,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Creating your own hashing algorithm for passwords, since well-known solutions can be compromised.",Using JSON Web Tokens (JWT) with a short expiration time.,I don't know,"Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",I don't know,SQL Injection
2025-02-25 15:55:02.805,P17,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → B, 2 → A, 3 → D, 4 → C",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Applying the principle of least privilege to all administrative functions.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",CSRF,Cross-Site Scripting (XSS)
2025-02-25 15:55:59.369,P24,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Using an ORM (Object-Relational Mapping) with native support for input escaping.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Using JSON Web Tokens (JWT) with a short expiration time.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.",Not applying patches or updates to the source code to avoid the risk of integrity failures.,SQL Injection,Code or data tampering (exploiting software integrity)
2025-02-25 15:58:07.547,P38,"In an injection attack, an attacker inserts malicious commands into a vulnerable system. A strong, complex password can prevent this from happening, as it adds an extra layer of security, making injection harder to execute.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,I don't know,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.",I don't know,Broken Access Control,Code or data tampering (exploiting software integrity)
